well_code,well_id,date,wse_m,x_proj,y_proj,row,col,primary_layer,screen_fraction,top_prf_m,bot_prf_m,well_depth_m
SCT_186,SCT_186,2023-06-12,852.150696,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-06-18,852.080592,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-06-25,852.0074400000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-07-02,851.800176,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-07-09,851.6142480000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-07-16,851.431368,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-07-23,851.2271519999999,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-07-30,851.065608,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-08-06,850.91016,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-08-13,850.751664,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-08-20,850.5901200000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-08-27,850.4438160000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-09-03,850.3249440000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-09-10,850.215216,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-09-17,850.0963440000002,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-09-24,849.946992,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-10-01,849.8525040000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
415204N1229027W004,SCT_186,2023-10-04,849.697056,508113.3665740427,4596539.131920203,187,81,0.0,,,,14.630400000000002
SCT_186,SCT_186,2023-10-08,849.7580160000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-10-15,849.66048,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-10-22,849.58428,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-10-29,849.474552,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-11-05,849.3983519999999,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-11-12,849.306912,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-11-19,849.221568,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-11-26,849.15756,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-12-06,849.124032,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-12-16,849.1728,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-12-23,849.261192,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2023-12-30,849.377016,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-01-06,849.514176,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-01-13,849.678768,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-01-20,849.8677440000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-01-27,850.0201440000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-02-03,850.203024,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-02-10,850.3340880000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-02-17,850.4712480000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-02-24,850.596216,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-03-01,850.702896,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-03-09,850.937592,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-03-16,851.041224,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-03-23,851.120472,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-03-30,851.2119120000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-04-04,851.2515360000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-04-12,851.27592,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-04-19,851.3216400000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-04-22,851.346024,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-05-04,851.3277360000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-05-11,851.5319519999999,508113.7005699476,4596538.910256534,187,81,0.0,,,,
415204N1229027W004,SCT_186,2024-05-18,851.678256,508113.3665740427,4596539.131920203,187,81,0.0,,,,14.630400000000002
SCT_186,SCT_186,2024-05-18,851.678256,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-05-19,851.6508240000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-01,851.5441440000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-08,851.617296,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-11,851.6264400000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-16,851.571576,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-23,851.388696,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-06-30,851.190576,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-07-07,851.007696,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-07-14,850.751664,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-07-21,850.66632,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-07-28,850.492584,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-08-04,850.3158000000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-08-11,850.142064,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-08-18,850.035384,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-08-25,849.9408960000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-09-01,849.837264,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-09-08,849.69096,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-09-15,849.5416080000001,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_186,SCT_186,2024-09-22,849.437976,508113.7005699476,4596538.910256534,187,81,0.0,,,,
SCT_187,SCT_187,2020-03-13,815.687472,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-03-18,815.687472,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-03-22,815.6783280000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-03-29,815.663088,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-04-11,815.4222960000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-04-15,815.53812,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-04-25,815.547264,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-04-28,815.693568,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-05-07,815.5198320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-05-12,815.4954480000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-05-23,815.791104,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-05-25,815.8063440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-06-03,815.8490160000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-06-07,815.809392,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-06-14,815.7088080000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-06-21,815.6204160000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-06-28,815.0870160000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-07-05,814.8126960000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-07-14,814.785264,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-07-25,814.727352,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-08-01,814.849272,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-08-08,814.9010880000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-08-11,814.8279360000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-08-16,814.498752,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-08-23,814.072032,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-09-01,814.1482320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-09-12,814.279296,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-09-19,814.41036,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-09-26,814.5109440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-10-03,814.5962880000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-10-10,814.672488,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-10-17,814.7395440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-10-24,814.803552,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-10-31,814.858416,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-11-07,814.919376,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-11-14,814.9620480000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-11-21,814.9986240000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-11-28,815.0382480000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-12-05,815.105304,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-12-12,815.2150320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-12-19,815.321712,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2020-12-26,815.407056,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-02,815.4405840000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-09,815.5198320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-16,815.7667200000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-20,815.809392,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-24,815.775864,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-01-31,815.699664,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-02-07,815.699664,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-02-20,815.791104,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-02-24,815.821584,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-02-28,815.8063440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-03-08,815.775864,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-03-14,815.763672,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-03-25,815.754528,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-04-01,815.7484320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-04-06,815.7453840000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-04-11,815.6539440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-04-24,815.6966160000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-04-26,815.733192,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-05-05,815.55336,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-05-10,815.556408,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-05-19,815.5259280000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-05-28,815.5686000000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-06-05,815.452776,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-06-07,815.468016,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-06-13,815.4375360000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-06-21,815.2272240000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-06-27,815.016912,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-07-04,814.949856,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-07-17,814.946808,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-07-21,814.9742400000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-07-25,814.9102320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-08-07,814.7395440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-08-14,814.8279360000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-08-21,814.9041360000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-08-28,814.965096,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-09-04,815.01996,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-09-11,815.0626320000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-09-18,815.0961599999999,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-09-25,815.1174960000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-10-02,815.1327360000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-10-09,815.144928,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-10-16,815.163216,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-10-23,815.178456,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-10-30,815.4253440000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-11-06,815.516784,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-11-13,815.592984,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-11-18,815.6204160000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-11-23,815.6021280000001,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
SCT_187,SCT_187,2021-11-28,815.559456,507484.8502495093,4608873.525683737,64,75,1.0,,,,15.8496
