SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	AWCcmprcm	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag
126	1	1	555	168.1465984	5	0.2	0.02369675	0.616896	3	0	FALSE
127	5	1	2	38272.93655	2	0.2	0.9721	0.616896	3	0	FALSE
128	6	1	555	3829.942366	2	0.111857124	0.042369675	1.1016	3	0	FALSE
129	6	1	2	2532.700441	2	0.2	0.9721	1.1016	3	0	FALSE
130	5	1	2	102537.0184	2	0.2	0.8916	0.626848459	3	2005	FALSE
131	3	1	2	88293.64755	2	0.268199364	0.979196953	2.61293038	3	0	FALSE
132	1	1	2	102132.9549	3	0.290018318	0.980765636	2.229991203	3	0	FALSE
133	1	1	2	109130.0275	2	0.340457514	0.983617592	0	3	0	FALSE
134	1	1	2	4501.760069	2	0.3733227	0.985059307	0.377994933	3	0	FALSE
135	1	1	2	1302.90301	2	0.2	0.9721	1.1016	3	0	FALSE
136	3	1	1	131242.2955	3	0.302389506	1.000001634	2.09494516	3	0	FALSE
137	1	1	2	117732.6402	2	0.34	0.983588235	0.314496	3	0	TRUE
138	1	1	2	440832.321	2	0.292302236	0.925822545	0	3	1996	TRUE
139	1	1	999	2045.343716	2	0.34	0.983588235	0.314496	3	0	FALSE
140	1	1	999	7483.430252	999	0.22	0.974636364	0.379296	3	0	FALSE
141	6	1	2	1548.820703	2	0.194632292	0.971344467	1.790049599	3	2015	FALSE
142	1	1	2	85209.84977	2	0.244749554	0.911421477	0.94855448	3	2005	FALSE
143	1	1	2	1517.494106	2	0.2	0.9721	1.1016	3	0	FALSE
144	1	1	2	47912.99853	3	0.270482402	0.979379797	0.8615122	3	0	FALSE
145	1	1	2	97330.16985	2	0.397492482	0.985968333	0.332696878	3	0	FALSE
146	1	1	2	231079.0058	2	0.2	0.9721	1.1016	3	0	FALSE
147	6	1	999	27027.15289	2	0.12	0.9535	10.901088	3	0	FALSE
148	1	1	2	133658.1533	2	0.2	0.9721	1.1016	3	0	TRUE
149	1	1	2	37668.23963	2	0.156452666	0.964349179	6.463814752	3	0	FALSE
150	6	1	2	59763.72577	2	0.12	0.9535	10.901088	3	0	FALSE
151	5	1	555	1994.171835	999	0.2	0.02369675	0.616896	3	0	FALSE
152	1	1	2	17516.1636	2	0.36526056	0.984721701	0.430185852	3	0	FALSE
153	5	1	2	22762.1955	2	0.28	0.980071429	0.364608	3	0	FALSE
154	5	1	2	18734.23156	2	0.2	0.9721	0.616896	3	0	FALSE
155	5	1	2	20330.83222	2	0.192990668	0.971083224	0	3	0	FALSE
156	1	1	999	7496.125079	5	0.2	0.02369675	1.100879908	3	0	FALSE
157	1	1	2	187743.4237	2	0.34	0.983588235	0.314496	3	0	TRUE
158	1	1	2	284565.2543	2	0.374976398	0.9421793	0	3	2001	FALSE
159	1	1	2	320793.2646	3	0.337294626	0.983457709	0	3	2008	TRUE
160	6	1	2	72039.83444	2	0.147211742	0.962117546	10.04512043	3	0	FALSE
161	1	1	2	89755.53707	2	0.34	0.983588235	0.314496	3	0	FALSE
162	1	1	2	23377.07217	2	0.218995336	0.974518471	0.902363274	3	0	TRUE
163	1	1	2	17774.62955	3	0.2	0.9721	1.1016	3	0	FALSE
164	1	1	3	358404.2785	2	0.374153026	0.94206107	0	3	-999	FALSE
165	1	1	555	3363.720713	999	0.2	0.02369675	1.1016	3	0	FALSE
166	5	1	2	109400.3718	2	0.30404542	0.981646097	0.614462829	3	0	FALSE
167	1	1	2	141173.2413	2	0.328763192	0.983032796	0.378206963	3	0	TRUE
168	1	1	2	176982.3381	2	0.215084608	0.89920428	0	3	2001	FALSE
169	6	1	999	52835.29993	2	0.12	0.9535	10.901088	3	0	FALSE
170	1	1	2	41486.60759	2	0.2	0.9721	1.1016	3	0	TRUE
171	5	1	1	133185.6881	3	0.375671076	0.999997136	0.789976407	3	0	FALSE
172	1	1	999	267720.6658	2	0.33910671	0.983554705	0	3	0	FALSE
173	1	1	2	57494.66634	3	0.2	0.9721	1.1016	3	2013	TRUE
174	1	1	999	180366.022	999	0.22	0.974636364	0	3	0	FALSE
175	1	1	2	192732.6515	2	0.387328764	0.985596825	0.383006641	3	0	FALSE
176	1	1	2	191761.9291	3	0.216196568	0.974206029	2.260842387	3	0	FALSE
177	1	1	555	10360.63736	5	0.192372584	0.024636307	1.954702196	3	0	FALSE
178	5	1	2	2807.512129	2	0.2	0.9721	0.623503173	3	0	FALSE
179	1	1	2	158543.0553	2	0.439251614	0.747669421	0.268206443	3	0	FALSE
180	5	1	2	161724.0012	2	0.2	0.311	0.616896	3	2005	FALSE
181	1	1	2	448099.1712	2	0.315189634	0.64833985	0	3	0	FALSE
182	3	1	2	181939.836	2	0.4	0.7229	0.333504	3	0	FALSE
183	1	1	2	13.50420715	2	0.34	0.674	0.314496	3	0	FALSE
184	3	1	555	19621.08796	5	0.12	0	10.901088	3	0	FALSE
185	6	1	2	159497.143	2	0.181637892	0.241342814	3.677914699	3	2006	FALSE
186	1	1	2	96950.31561	2	0.345468732	0.601125314	0.31622113	3	2004	FALSE
187	1	1	2	135902.2727	2	0.2	0.445825	1.1016	3	0	FALSE
188	1	1	555	202546.4486	5	0.12	0	10.901088	3	0	FALSE
189	1	1	2	163741.8411	2	0.34	0.674	0.314496	3	0	FALSE
190	1	1	2	331005.7515	3	0.200688218	0.447709392	1.076263202	3	0	FALSE
191	5	1	2	9050.106617	2	0.436177574	0.745888875	0	3	0	FALSE
192	1	1	2	163329.0371	2	0.34	0.674	0.314496	3	0	TRUE
193	7	1	999	2889.811744	3	0.2	0.445825	1.1016	3	0	FALSE
194	1	1	999	14480.96193	2	0.283202242	0.608628656	0.898579672	3	0	TRUE
195	1	1	2	1300.048664	2	0.314873142	0.64799112	0	3	0	FALSE
196	1	1	2	1083.977803	2	0.291584198	0.619872412	0.517036754	3	0	FALSE
197	6	1	999	78644.87888	2	0.12	0.130525	10.901088	3	0	FALSE
198	1	1	2	91742.66242	2	0.434924708	0.745151963	0.269356388	3	0	FALSE
199	6	1	999	135258.5679	2	0.194890524	0.431293417	1.684676917	3	0	FALSE
200	1	1	2	86839.61681	3	0.34	0.674	0.314496	3	0	FALSE
201	1	1	2	200272.0183	3	0.34	0.674	0.314496	3	0	FALSE
202	4	1	2	195935.2182	2	0.350027082	0.683347125	0.31765715	3	0	FALSE
203	5	1	2	31209.91286	2	0.2	0.445825	1.022223073	3	0	FALSE
204	1	1	555	16350.22899	999	0.2	0	1.101362571	3	0	FALSE
205	5	1	2	128514.5932	2	0.38329621	0.710821012	0.293801746	3	0	FALSE
206	1	1	2	226163.7272	2	0.39054816	0.716198484	0	3	0	FALSE
207	3	1	999	20672.3261	5	0.38	0	0.31104	3	0	FALSE
208	6	1	2	24448.13688	2	0.259419046	0.572741294	0.767221834	3	0	FALSE
209	8	1	999	40704.09378	3	0.398795178	0.722062392	0.33456117	3	0	FALSE
210	1	1	2	15302.53935	3	0.2	0.445825	1.1016	3	0	FALSE
211	1	1	2	177236.3947	2	0.19704076	0.437498313	1.248943594	3	2008	FALSE
212	3	1	2	142466.9308	2	0.141991154	0.219404513	9.705160572	3	0	FALSE
213	1	1	999	42385.87614	5	0.1801081	0	2.581964974	3	0	FALSE
214	1	1	999	87155.5381	5	0.287282912	0	0	3	0	FALSE
215	1	1	2	53991.5038	5	0.18575572	0	3.542152376	3	0	FALSE
