"","stn_id","well_code","swn","well_name","latitude","longitude","wlm_method","wlm_acc","basin_code","basin_name","county_name","well_depth","well_use","well_type","wcr_log_no","wcr_file_no","well_loc_source","comments"
"45",NA,"417411N1218180W002","45N01E13M001M","45N01E13M001M",41.7411,-121.818,"Digital Elevation Model","5 ft.","1-018","Red Rock Valley","Siskiyou",280,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"46",NA,"417467N1218285W002","45N01E14F001M","45N01E14F001M",41.7467,-121.829,"Digital Elevation Model","5 ft.","1-018","Red Rock Valley","Siskiyou",242,"Irrigation","Single Well","138712",NA,"DWR_Periodic_GWL",NA
"47",NA,"417511N1217834W002","45N02E07R001M","45N02E07R001M",41.7511,-121.783,"Digital Elevation Model","5 ft.","1-018","Red Rock Valley","Siskiyou",220,"Residential","Single Well","128130",NA,"DWR_Periodic_GWL",NA
"48",NA,"417522N1218184W002","45N01E12N001M","45N01E12N001M",41.7522,-121.818,"Digital Elevation Model","5 ft.","1-018","Red Rock Valley","Siskiyou",205,"Stockwatering","Single Well","138711",NA,"DWR_Periodic_GWL",NA
"49",NA,"417539N1220414W001","45N02W11P001M",NA,41.7539,-122.041,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Unknown","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"50",NA,"417638N1224574W001","45N05W07H002M","45N05W07H002M",41.7638,-122.457,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",80,"Residential","Single Well","078681",NA,"DWR_Periodic_GWL",NA
"51",NA,"417660N1224811W001","45N06W12G001M","SV01",41.766,-122.481,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",150,"Residential","Single Well","112928",NA,"DWR_Periodic_GWL",NA
"52",NA,"417704N1225126W001","45N06W10A001M","45N06W10A001M",41.7704,-122.513,"USGS quad","10 ft.","1-004","Shasta Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"53",NA,"417782N1233987W001",NA,"HC02",41.7781,-123.399,"GPS","20 ft.","1-015","Happy Camp Town Area","Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"54",NA,"417786N1220041W001","45N01W06A001M","45N01W06A001M",41.7786,-122.004,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",104,"Irrigation","Single Well","49917",NA,"DWR_Periodic_GWL",NA
"55",NA,"417789N1220759W001","45N02W04B001M","45N02W04B001M",41.7788,-122.076,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1237,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"56",NA,"417822N1220545W001","46N02W35R001M","46N02W35R001M",41.7821,-122.054,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",809,"Irrigation","Single Well","62636",NA,"DWR_Periodic_GWL",NA
"57",NA,"417860N1220153W001",NA,"BV01",41.786,-122.015,"GPS","20 ft.","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"58",NA,"417878N1220131W001","46N01W31J001M",NA,41.7878,-122.013,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",88,"Irrigation","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"59",NA,"417916N1224217W001","46N05W33J001M","46N05W33J001M",41.7917,-122.422,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Residential","Single Well","99808",NA,"DWR_Periodic_GWL",NA
"60",NA,"417920N1220617W001","46N02W35C001M","46N02W35C001M",41.7901,-122.064,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",104,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"61",NA,"417927N1220812W001","46N02W34B002M","46N02W34B002M",41.7926,-122.081,"Unknown","Unknown",NA,NA,"Siskiyou",206,"Irrigation","Single Well","70199",NA,"DWR_Periodic_GWL",NA
"62",NA,"417941N1224710W001","46N05W31F001M","46N05W31F001M",41.7941,-122.471,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",75,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"63",NA,"417944N1220350W001","46N02W25R002M","46N02W25R002M",41.7943,-122.035,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",116,"Irrigation","Single Well","72",NA,"DWR_Periodic_GWL",NA
"64",NA,"417959N1220575W001","46N02W26Q001M",NA,41.7959,-122.058,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",120,"Unknown","Unknown","DWR",NA,"DWR_Periodic_GWL",NA
"65",NA,"417989N1220616W001","46N02W26L002M",NA,41.7989,-122.062,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",NA,"Unknown","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"66",NA,"417993N1233730W001",NA,"HC01",41.7993,-123.373,"GPS","20 ft.",NA,NA,"Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"67",NA,"418066N1220348W001","46N02W25H002M",NA,41.8066,-122.035,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1920,"Unknown","Unknown","GEOL.",NA,"DWR_Periodic_GWL",NA
"68",NA,"418081N1220122W001","46N01W20N001M","46N01W20N001M",41.8081,-122.012,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Single Well","50",NA,"DWR_Periodic_GWL",NA
"69",NA,"418100N1220090W001","46N01W20N002M","46N01W20N002M",41.8082,-122.011,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1526,"Irrigation","Single Well","GEOL.",NA,"DWR_Periodic_GWL",NA
"70",NA,"418225N1220333W001",NA,"BV03",41.8225,-122.033,"GPS","20 ft.","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"71",NA,"418225N1220424W001",NA,"BV02",41.8225,-122.042,"GPS","20 ft.","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"72",NA,"418226N1220249W001","46N01W18Q001M","46N01W18Q001M",41.8225,-122.025,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",142,"Irrigation","Single Well","43",NA,"DWR_Periodic_GWL",NA
"73",NA,"418258N1220053W001","46N01W17P001M",NA,41.8258,-122.005,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",105,"Unknown","Unknown","70185",NA,"DWR_Periodic_GWL",NA
"74",NA,"418339N1220049W001","46N01W17B001M","46N01W17B001M",41.8338,-122.005,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",80,"Irrigation","Single Well","YES",NA,"DWR_Periodic_GWL",NA
"75",NA,"418341N1215420W001",NA,"TL-T1 Q3B",41.8341,-121.542,"GPS","0.1 ft.","1-002.01","Tulelake","Siskiyou",500,"Observation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"76",NA,"418353N1231864W001",NA,"SEV01",41.8353,-123.186,"GPS","20 ft.","1-016","Seiad Valley","Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"77",NA,"418371N1221105W001",NA,"BV05",41.8371,-122.111,"GPS","20 ft.","1-003","Butte Valley","Siskiyou",284,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"78",NA,"418378N1221032W001",NA,"BV06",41.8378,-122.103,"GPS","20 ft.","1-003","Butte Valley","Siskiyou",NA,"Industrial","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"79",NA,"418391N1214697W001",NA,"TL-T3 GP",41.8391,-121.47,"GPS","0.1 ft.","1-002.01","Tulelake","Siskiyou",500,"Observation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"80",NA,"418408N1219789W001","46N01W09R001M",NA,41.8408,-121.979,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",602,"Irrigation","Unknown","3956",NA,"DWR_Periodic_GWL",NA
"81",NA,"418413N1231956W001",NA,"SEV02",41.8413,-123.196,"GPS","20 ft.","1-016","Seiad Valley","Siskiyou",61,"Other","Single Well","65242",NA,"DWR_Periodic_GWL",NA
"82",NA,"418463N1219644W001","46N01W10K001M","10K001M",41.8463,-121.964,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"83",NA,"418483N1218912W001","46N01E08D001M","08D001M",41.8483,-121.891,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"84",NA,"418512N1219183W001","46N01E06N001M","46N01E06N001M",41.8511,-121.918,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",200,"Irrigation","Single Well","USGS",NA,"DWR_Periodic_GWL",NA
"85",NA,"418515N1218903W001","46N01E08C001M",NA,41.8515,-121.89,"Unknown","Unknown",NA,NA,"Siskiyou",118,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"86",NA,"418543N1219225W001","46N01W01Q001M",NA,41.8543,-121.922,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",236,"Irrigation","Unknown","49918",NA,"DWR_Periodic_GWL",NA
"87",NA,"418544N1219958W001","46N01W04N002M","46N01W04N002M",41.8544,-121.996,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",220,"Unknown","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"88",NA,"418585N1219512W001","46N01W02F002M","46N01W02F002M",41.8585,-121.951,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",515,"Irrigation","Single Well","799144",NA,"DWR_Periodic_GWL",NA
"89",NA,"418661N1219587W001","47N01W34Q001M","47N01W34Q001M",41.866,-121.965,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",358,"Irrigation","Single Well","7399",NA,"DWR_Periodic_GWL",NA
"90",NA,"418714N1219475W001","47N01W35L001M",NA,41.8714,-121.948,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1302,"Irrigation","Unknown","87453",NA,"DWR_Periodic_GWL",NA
"91",NA,"418921N1218814W001","47N01E29H002M",NA,41.8921,-121.881,"Unknown","Unknown",NA,NA,"Siskiyou",60,"Stockwatering","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"92",NA,"418944N1219643W001","47N01W27B001M","47N01W27B001M",41.8944,-121.964,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",40,"Observation","Single Well","847",NA,"DWR_Periodic_GWL",NA
"93",NA,"418947N1220831W001",NA,"BV04",41.8947,-122.083,"GPS","20 ft.",NA,NA,"Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"94",NA,"418948N1220832W001","47N02W27C001M","47N02W27C001M",41.8947,-122.083,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Irrigation","Single Well","421213",NA,"DWR_Periodic_GWL",NA
"95",NA,"418962N1220851W001","47N02W22P001M",NA,41.8962,-122.085,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"96",NA,"418981N1220811W001","47N02W22Q002M",NA,41.8981,-122.081,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",182,"Irrigation","Unknown","YES",NA,"DWR_Periodic_GWL",NA
"97",NA,"419017N1220269W001","47N01W19L001M","47N01W19L001M",41.9016,-122.027,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",45,"Stockwatering","Single Well","NONE",NA,"DWR_Periodic_GWL",NA
"98",NA,"419018N1220664W001","47N02W23L001M","47N02W23L001M",41.9017,-122.066,"USGS quad","5 ft.",NA,NA,"Siskiyou",281,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"99",NA,"419021N1219431W001","47N01W23H002M","47N01W23H002M",41.9021,-121.943,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1031,"Residential","Single Well","NONE",NA,"DWR_Periodic_GWL",NA
"100",NA,"419030N1220607W001","47N02W23G001M",NA,41.903,-122.061,"Unknown","Unknown",NA,NA,"Siskiyou",285,"Irrigation","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"101",NA,"419032N1219387W001","47N01W23H003M",NA,41.9032,-121.939,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",NA,"Unknown","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"102",NA,"419035N1220999W001","47N02W21G001M",NA,41.9035,-122.1,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",382,"Irrigation","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"103",NA,"419037N1219397W001","47N01W23H001M",NA,41.9037,-121.94,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1065,"Irrigation","Unknown","107001",NA,"DWR_Periodic_GWL",NA
"104",NA,"419037N1220950W001","47N02W21H001M",NA,41.9037,-122.095,"Unknown","Unknown",NA,NA,"Siskiyou",174,"Residential","Unknown","215476",NA,"DWR_Periodic_GWL",NA
"105",NA,"419079N1221002W001","47N02W21B001M",NA,41.9079,-122.1,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",382,"Irrigation","Unknown","YES",NA,"DWR_Periodic_GWL",NA
"106",NA,"419107N1218935W001","47N01E20D001M",NA,41.9107,-121.894,"Unknown","Unknown",NA,NA,"Siskiyou",240,"Irrigation","Unknown","49941",NA,"DWR_Periodic_GWL",NA
"107",NA,"419110N1221048W001","47N02W16P001M",NA,41.911,-122.105,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",NA,"Irrigation","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"108",NA,"419180N1219323W001","47N01W13L001M",NA,41.918,-121.932,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1025,"Irrigation","Unknown","106990",NA,"DWR_Periodic_GWL",NA
"109",NA,"419182N1219179W001","47N01W13G001M",NA,41.9182,-121.918,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",207,"Irrigation","Unknown","YES",NA,"DWR_Periodic_GWL",NA
"110",NA,"419182N1221000W001","47N02W16G001M",NA,41.9182,-122.1,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",171,"Residential","Unknown","90628",NA,"DWR_Periodic_GWL",NA
"111",NA,"419242N1215637W001","47N04E07Q001M","47N04E07Q001M",41.9241,-121.564,"Unknown","Unknown","1-002.01","Tulelake","Siskiyou",1170,"Irrigation","Single Well","414107",NA,"DWR_Periodic_GWL",NA
"112",NA,"419435N1219382W001","47N01W02J001M",NA,41.9435,-121.938,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1131,"Irrigation","Unknown","11004",NA,"DWR_Periodic_GWL",NA
"113",NA,"419451N1218967W001","47N01E05E001M","47N01E05E001M",41.9452,-121.896,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",620,"Irrigation","Single Well","GEOL 3982",NA,"DWR_Periodic_GWL",NA
"114",NA,"419511N1216245W001","48N03E33R001M",NA,41.9511,-121.624,"Unknown","Unknown",NA,NA,"Siskiyou",350,"Unknown","Unknown","493850",NA,"DWR_Periodic_GWL",NA
"115",NA,"419519N1215653W001","48N04E31N001M",NA,41.9519,-121.565,"Unknown","Unknown","1-002.01","Tulelake","Siskiyou",NA,"Unknown","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"116",NA,"419519N1219958W001","47N01W04D002M","47N01W04D002M",41.9521,-121.996,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",200,"Observation","Part of a nested/multi-completion well","YES",NA,"DWR_Periodic_GWL",NA
"117",NA,"419520N1219959W001","47N01W04D001M","47N01W04D001M",41.9521,-121.996,"USGS quad","5 ft.","1-003","Butte Valley","Siskiyou",460,"Observation","Part of a nested/multi-completion well","YES",NA,"DWR_Periodic_GWL",NA
"118",NA,"419533N1219040W001","47N01E06A002M",NA,41.9533,-121.904,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",160,"Irrigation","Unknown","58731",NA,"DWR_Periodic_GWL",NA
"119",NA,"419534N1215666W001","48N04E31N002M","48N04E31N002M",41.9534,-121.567,"Unknown","Unknown","1-002.01","Tulelake","Siskiyou",337,"Residential","Single Well","414105",NA,"DWR_Periodic_GWL",NA
"120",NA,"419540N1216232W001","48N03E34N001M","LK02",41.9538,-121.623,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Stockwatering","Single Well","393998",NA,"DWR_Periodic_GWL",NA
"121",NA,"419542N1215655W001","48N04E31M001M","48N04E31M001M",41.9542,-121.566,"Unknown","Unknown","1-002.01","Tulelake","Siskiyou",40,"Unknown","Single Well","99000",NA,"DWR_Periodic_GWL",NA
"122",NA,"419568N1214809W001","48N04E35L002M","City of Tulelake",41.9567,-121.481,"Surveyed to a benchmark","0.1 ft.","1-002.01","Tulelake","Siskiyou",2676,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"123",NA,"419577N1219345W001","48N01W36M002M",NA,41.9577,-121.934,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",920,"Irrigation","Unknown","3353",NA,"DWR_Periodic_GWL",NA
"124",NA,"419605N1214815W001","48N04E35C001M","CTW #3",41.9605,-121.481,"GPS","0.1 ft.","1-002.01","Tulelake","Siskiyou",2790,"Other","Single Well","797943",NA,"DWR_Periodic_GWL",NA
"125",NA,"419608N1214731W001","48N04E35G001M","48N04E35G001M",41.9607,-121.473,"Unknown","Unknown","1-002.01","Tulelake","Siskiyou",220,"Irrigation","Single Well","493837",NA,"DWR_Periodic_GWL",NA
"126",NA,"419635N1219601W001","48N01W34G001M",NA,41.9635,-121.96,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",383,"Irrigation","Unknown","1503",NA,"DWR_Periodic_GWL",NA
"127",NA,"419662N1219633W001","48N01W34B001M","48N01W34B001M",41.9664,-121.963,"Unknown","Unknown",NA,NA,"Siskiyou",NA,"Irrigation","Single Well","2376",NA,"DWR_Periodic_GWL",NA
"128",NA,"419669N1219306W001","48N01W25P001M",NA,41.9669,-121.931,"Unknown","Unknown","1-003","Butte Valley","Siskiyou",1134,"Irrigation","Unknown","1505",NA,"DWR_Periodic_GWL",NA
