Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
1999-01-03 172367.565646705 145476.618486275 22289.9354083322 39776.1518983226 49089.7180681249 7726.45715609807 21406.3400051182 61485.3755174703 9565.23784304641 43335.46366308 25359.0889614995 11744.2680748674 43374.9794749584 13195.1139166436 8307.19218034473 28698.3854302568 41364.1248410389 332862.825672732 82549.3328821395 54382.5233485088 23291.3708401897 50293.5011074141 95023.5177587892 10510.3392495658 16015.4557201185
1999-01-04 166616.858599195 141858.847581721 22077.5986457593 38765.7107110767 48630.4071797771 7645.27805873801 20622.7631575275 59782.0624636362 9407.53427253372 42262.4892889192 25016.7622522513 11625.0394486553 42793.9258380094 12760.3819715741 8055.09776929469 27993.9374391709 39669.3633554551 321859.878429258 79997.6833335464 52527.0983807741 22466.9890213311 48474.001847666 92113.7371063817 10204.5162640704 15470.5737608012
1999-01-05 161174.666403288 138615.894086093 21912.533936168 38099.9938901333 48097.4785183841 7571.32041482408 19881.7933010245 58379.8656042153 9277.75737596597 41419.1922900413 24683.0475356887 11545.5536978472 42251.175488073 12355.8813859029 7824.9034518687 27385.9962424682 38239.7326672693 313120.492068458 77947.433190243 50887.9683944193 21731.5606212471 46883.3860906115 89382.0087403024 9978.84657274533 14971.060052982
1999-01-06 156422.412257751 135983.364503825 21731.195241124 37549.5114031349 47521.8728871095 7488.64722364758 19155.2706426491 57188.9550418451 9143.28692075202 40926.761880593 24345.5650723263 11437.7511483137 41713.7249640127 11953.6294137409 7606.38918437552 26834.8237483438 36957.1575395311 304406.049929686 75842.0398720017 49295.2052348956 21018.0099538887 45424.4762371286 86796.0681522903 9754.13108730328 14474.5554638844
1999-01-07 152203.269818512 132167.175245069 21620.1188324788 36446.5891580732 47030.8210024125 7412.19942337293 18481.1496859561 55551.0211440795 9029.93747944601 40236.9359389316 23989.2438749643 11323.7387744983 41169.2883058431 11530.6402281071 7392.74160435435 26157.4699107612 35705.1292392627 295428.675328101 73763.8146545833 47737.7811163621 20339.8002393948 43842.0476038096 84240.2411053215 9501.98218272557 13997.7258818142
1999-01-08 147544.720025207 127881.485589624 21505.425982622 35227.4539435341 46552.0387465563 7339.48685763937 17870.2046126003 53721.202080942 8928.55661268785 39367.1784129474 23747.8389549993 11218.9169406201 40674.2363887907 11240.3192395031 7213.40417101085 25537.4008548713 34625.0247500102 287548.591962904 72087.7311275663 46333.7434736159 19718.8092104908 42524.0986633386 81806.7801933863 9271.78001345639 13582.2360275345
1999-01-09 143324.354291553 124842.332943627 21316.8544051546 34312.9190384674 46006.040263137 7251.08630683317 17255.8313905362 52283.9237231429 8800.42246164628 38726.3044464326 23476.292060635 11094.22366904 40116.5501659312 10872.2961618667 7033.82340329373 25004.033090192 33662.2122457218 280040.890197995 70456.8381048888 44976.8245521901 19084.3549614481 41196.538751526 79543.484687982 9054.69817507819 13147.5341075694
1999-01-10 139862.186436658 123523.376904779 21078.1692851822 34142.3917969394 45409.8963401072 7155.96233385298 16641.2133007073 51474.3915711724 8654.4527877491 38461.9637806406 23390.4412585516 10968.2884326034 39554.7686230765 10524.7604517564 6843.04925439101 24590.9117591559 32819.8247343432 272218.840328946 68541.8904835063 43524.4150306418 18425.3784185811 40019.9066859685 77429.8009023646 8829.98268963615 12683.2039417282
1999-01-11 136974.722298189 123344.531261225 20842.842289192 34172.9741573282 44780.6777654192 7054.36395433486 16025.3708720539 50868.4384173666 8513.88070629507 38552.4587833442 24122.9988863608 10840.6144453679 38973.4740849512 10180.4727389369 6665.6584960363 24366.4173444142 32181.2785524265 264455.587554681 66676.4372240194 42125.6406493196 17782.9904862422 38912.3312293107 75412.4326488146 8617.19477773137 12251.048199143
1999-01-12 134346.8412347 120976.233272716 20602.0906313845 32795.5446454167 44146.1245694962 6953.01459045283 15445.279137072 49507.9672795015 8438.54909002338 38551.1357569889 24762.1702184867 10708.7177776207 38343.5175092373 9858.67116120728 6487.05106581359 23982.712522896 31499.4576982609 256806.874575445 64820.6676440339 40743.9092097517 17180.0305557386 37664.3288024933 73380.485617458 8381.74447610578 11854.075998536
1999-01-13 130823.264000144 117584.77183504 20403.4446819702 31640.7547171356 43574.5199041481 6860.1317581973 14884.2870877501 47929.8313903353 8373.77798070566 38304.2590390871 24842.6385251417 10572.3500363906 37708.9838111759 9529.87389700522 6325.47704174291 23527.2727044833 30805.496438306 249507.63523749 63240.8829298354 39475.9644695424 16635.9722133422 36235.4977296911 71424.5394277823 8188.51778480212 11487.4264558178
1999-01-14 127262.987933121 116231.563552556 20219.5228146322 31468.5148634259 43080.2672467099 6772.97628557146 14374.4724012863 47015.0547432301 8276.8559946614 38178.5715353322 24623.0327116618 10456.8473047475 37183.5783459248 9362.72695950433 6192.37313938348 23224.5923039178 30226.4774073562 243567.856000104 62017.7804106015 38312.282431829 16148.6517272454 35290.5968620394 69995.102213651 8022.9630641049 11159.2010444705
